Modules,words,mean_cn,sentence,sentence_tra
Module6,narrow,,I will meet you on the other side of the narrow alley.,我在窄巷子那头等你。
Module6,ridiculous,adj.可笑的，荒谬的,Men putting on female clothes look ridiculous.,男人穿女装看起来是可笑的。
Module6,canal,n. 运河;  水渠;  支流;  ,This city has many canals running through it.,这座城市有很多运河穿流其中。
Module6,dam,n. 水坝；障碍物,The dam keeps the river from flooding the town.,大坝让小镇免于河流泛滥的洪水。
Module6,carving,n.雕刻；雕刻品；雕刻术,Can you recognize the faces in the carving at Mount Rushmore?,你能认出雕刻在拉什莫尔山上的人脸吗？
Module6,reservoir,n. 水库,The city must rely on safe drinking water from the reservoir.,这个城市肯定是靠这个水库供给安全饮用水的。
Module6,cliff,n.悬崖，峭壁,The steep white cliffs surrounded the bay.,陡峭的白色悬崖包围着海湾。
Module6,date,"n. (某些事件发生或将发生的) 年月日;  日期;  时间;  时期;  约会;  vi. 记载日期;  属于某一特定时期;  vt. 给…注明日期;  确定, …的年代;  约会;  ",What date is it today?,今天几号？
Module6,engineering,"n. 工程学;  工程;  工程师行业、职业、工作;  管理, 操纵;  ",We have to consult the students from Lanxiang to solve this engineering problem.    ,我们得请教蓝翔的学生来解决这个工程问题。
Module6,enormous,"adj. 极大的, 巨大的, 庞大的;  ",That is one enormous cup of coffee!--How big is it?,那杯超大的咖啡！―它有多大啊？
Module6,civil,adj.公民的，民用的；国内的,Voting is an important civil right.,选举权是一项重要的公民权利。
Module6,foggy,adj.雾深的，模糊的；朦胧的，玻璃窗等)不明净的,We got lost in the foggy forest.,我们在迷雾森林中迷路了。
Module6,relic,n.遗迹，遗物；废墟；纪念物,We may never know who made these ancient relics.,我们也许永远也不知道是谁建造了这些古代遗迹。
Module6,hydro-electric,adj.水力发电的,Our city gets hydro-electric power from this dam.,这个大坝给我们的城市供应水力发的电。
Module6,poem,n.诗，韵文，诗体文,This poem is written by Libai.,这首诗是李白写的。
Module6,date from,起源于,This antique car dates from the 50's.,这辆古董车的历史能追溯到50年代。
Module6,remove,vi. 搬家;  离开;  vt. 搬开;  移动;  除掉;  ,Use the other end of the hammer to remove nails.,用锤子的另一端去拔除钉子。
Module6,historical,n. 历史题材的文学作品;  adj. 历史的; 有关历史的;  ,Historical places are the greatest tourist attraction.,历史古迹是最重要的旅游景点。
Module6,construction,n. 建筑物；建造；造句,I work in construction - I build houses.,我在建筑行业工作―我盖房子。
Module6,watchtower,"n. t望塔, 岗楼, 监视塔;  ",The lifeguard in the watchtower makes sure people stay safe.,t望塔的救生员会确保人们的安全。
Module6,accommodate,v.向…提供住处(或膳宿)；给…提供方便；容纳；使适应，顺应,The hotel room can comfortably accommodate two travelers.,这酒店的房间接纳两位旅客是没有任何问题的。
Module6,freezing,adj. 冰冻的；严寒的；冷冻用的,The weather is freezing cold today.,今天天气非常冷！
Module6,observatory,n.天文台，气象台，了望台,The observatory keeps watch on the stars.,那个天文台一直在观察恒星。
Module6,Buddhist,n.佛教徒 adj.佛教的 ,Buddhist monks live simple lives.,佛教的僧侣们过着简单的生活。
Module6,global,adj. 全面的，全球的,"With the internet, we can have a global network of friends.",有了因特网，我们便可以和全世界的朋友相连了。
Module6,structure,n. 结构，构造；.建筑物v. 建筑，组织,There are so many new structures going up. ,许多新的建筑正拔地而起。
Module6,come true,phr. 变为现实; 成为事实;,Do you believe in genies who can make your wishes come true?,你相信能让你梦想成真的精灵吗？
Module6,crash,,It was a serious car crash.,这是一次严重的车祸。
Module6,terminal,n.终点；航站楼；终点站adj.末端的；晚期的,Your plane will leave from Terminal A.,你的航班会从A航站楼起飞。
Module6,site,"n. 地点;  场所;  网站;  现场;vt. 给…造址, 坐落于;  ",Take measurements at the construction site.,他正在施工现场测量。
Module6,submerge,v.沉没，淹没，使卷入,Submarines submerge beneath the water and disappear.,潜水艇沉入水下消失了。
Module6,generate,v.造成，发生(电，热，光，力等)，产生，生殖,This plant generates electricity for the entire city.,这间工厂产出电力供全城使用。
Module6,gorge,n.峡谷；胃；暴食；咽喉；障碍物v，拚命吃；吞下，狼吞虎咽；塞满，填满,This small village is at the bottom of a steep river gorge.,这个小村庄位于一个陡峭河谷的底部。
Module6,harness,n.挽具，马具，降落伞背带v.上挽具；治理(河流等)；利用,We keep our horse in the harness so he doesn't run away.,我们给马套上马具，这样它就不会跑。
Module6,bulletin,n.公告，公报，公告牌,I'll pin the advertisement on the bulletin board.,我会把广告钉在公告栏上面。
Module6,hold back,v.阻挡，抑制，控制；隐瞒,"I was driving very quickly, but now I am holding back because it's too dangerous.",我刚刚一直开得很快，但现在我减速了因为这样太危险。
Module5,in conclusion,总之,"In conclusion, the Prince and Princess lived happily ever after.",总之，王子和公主从此过上了幸福的生活。
Module5,justice,n. 正义;  公平;  合理;  妥当;  应得的赏罚;  审判;  审判员;  ,We need to bring criminals to justice.,我们需要把嫌犯们带去审判。
Module5,be at war with,与...交战,They are at war with each other.,他们在交战。
Module5,equal,v. 等于；比得上adj. 相等的；平等的n. 对手,"Today, men and women are equal in the eyes of the law.",如今，男女在法律面前是平等的。
Module5,fuel,n.燃料v.给…加燃料 ,No vehicle can run without fuel.,没有汽车是不需要燃料就能发动的。
Module5,sutra,n.（佛教的）经,I learn a lot about Buddhism by reading the sutras.,我通过读佛经，对佛教有了许多了解。
Module5,principle,n. 原则，原理；主义,Our business success is based on four fundamental principles.,我们生意的成功是基于四项基本的原则。
Module5,soft,"n. 柔软的东西;  adv. 柔软地, 柔和地;  adj. 软的; 温柔的; 细嫩的, 光滑的; 不含酒精的;",The newborn baby fell asleep on the soft pillows.,新生婴儿在柔软的枕头上睡着了。
Module5,bring up,养育；呕出,A mother should bring up her child with love and care.,母亲应该用爱心和关怀来养育她的孩子。
Module5,bark,,It scares me when the dog barks.,这狗叫的时候吓死我了。
Module5,teaching,n. 教学；教义v. 教学；教导,The children love his music teaching.,孩子们喜爱他的音乐教学。
Module5,argument,n.争论，辨论；论据，论点,We had an argument about which movie to watch. ,就为了到底看哪部电影我俩争论了半天。
Module5,philosophy,"n. 哲学, 哲学体系;  哲学思想;  ",I often think about the meaning of life and other questions of philosophy.,我常常思考生命的意义以及其他哲学命题。
Module5,condition,n.状况，状态；疾病，症状 [pl.]环境，形势，条件,You shouldn't smoke if you have a heart condition.,你如果心脏不好的话不该抽烟。
Module5,inventor,n. 发明家,The inventor had all kinds of ideas about how to improve the car.,这位发明家有各种各样关于如何改进汽车的想法。
Module5,philosopher,"n. 哲学家;  思想家, 学者;  ",Aristotle may have been the greatest philosopher of all time.,亚里士多德应该可以算是有史以来最伟大的哲学家。
Module5,thinker,n.思想者，思想家，心智,The Greek philosopher Plato was one of the greatest thinkers ever.,希腊哲学家柏拉图是史上最伟大的思想家之一。
Module5,importance,n.重要；重要性,Mothers are of great importance to babies.,妈妈对宝宝十分重要！
Module5,kindness,n.仁慈，亲切；好意；友好行为,She showed kindness to her cat.,她对她的猫很好。
Module5,become interested in,对……感兴趣,The kitten quickly becomes interested in a ball of string.,这只小猫很快变得对毛线球感兴趣起来。
Module5,resign,vi. 辞职;  顺从;  投降;  vt. 放弃;  辞去;  把…委托给;  , He was inclined to resign from this job.,他倾向于放弃这个工作。
Module5,stress,"n. 强调;  节拍;  紧迫;  压力;  vt. 给…加压力, 使紧张;  强调;  ","After working such a long day, she feels a lot of stress.",这样工作一整天让她压力巨大。
Module5,freedom,n.自由，自主,We have the freedom to do whatever we want with our lives.,我们有自由去做任何我们想做的事情。
Module5,order,,The handsome waiter took our order and served our food.,那个帅气的服务员接了我们的单并给我们上菜。
Module5,category,n.类别，范畴,Please put the documents in the correct category.,请把文档放进正确的分类里。
Module5,adviser,n. 顾问；劝告者；指导教师（等于advisor）,Our financial adviser helps us with our money plans.,我们的理财顾问帮助我们制定财务计划。
Module5,be proud of,骄傲，自豪,Graduating from university is something to be proud of.,从大学毕业是值得骄傲的事情。
Module5,monk,n.和尚，修道士，僧侣,The monk has lived in the temple his whole life. ,这个和尚在寺庙里度过了一生。
Module5,leather,,He wore a hat made of leather.,他戴着一个皮帽子。
Module5,love,v.爱，喜欢 n.爱 ,"You can't define the love between two people, you can only feel it.",你无法定义两人之间的爱，你只能去感受。
Module5,contribution,n.贡献，投稿稿件，捐献物,Thanks to all of you for making a contribution to our charity.,感谢各位给我们慈善团体的捐献。
Module5,influential,adj.有影响的,You shouldn't talk to him like that--he's a very influential man!,你不该那样和他说话，他可是个非常有影响力的人！
Module5,invent,v. 发明,Thomas Edison invented the light bulb over a hundred years ago.,爱迪生在一百多年前发明了电灯。
Module4,carbon,n. 碳;  复写纸;  adj. 碳的;  ,Coal burns so easily because it contains lots of carbon.,煤炭很容易燃烧，因为它含有很多碳元素。
Module4,urgent,adj.急迫的，紧迫的,"He needed urgent attention, so we called an ambulance.",他需要急救，于是我们叫了救护车。
Module4,citizen,n.市民，公民，居民,"Being responsible citizens, we should abide by the rules.",作为一个负责任的公民，我们应该遵守规则。
Module4,protection,n. 保护；保卫,"As a true friend, Jerry will always provide protection to Tom.",杰瑞真算得上朋友，他总是会为汤姆提供保护。
Module4,pollution,n. 污染;  堕落;  污染物;  ,Sea pollution is a threat to the sea creatures.,对于海洋生物来说，海水污染是一大威胁。
Module4,desertification,n.沙漠化,The organization put a lot of effort into preventing desertification in Africa. ,那个组织做了很多努力来防止非洲的沙漠化。
Module4,concerned,"adj. 有关的; 关切的, 担心的;  ",Mark looks concerned with his work.,Mark看起来很担心他的工作。
Module4,inland,adv.在内陆地，国内地，远离海岸地adj.内陆的，国内的,"The boat heads inland, away from the ocean.",船从大海驶入内陆。
Module4,take in,吸收,We decided to take in the cute dog as our pet.,我们决定接受这只可爱的小狗当我们的宠物。
Module4,absolutely,adv.完全地；绝对地,The ad said the product was absolutely guaranteed to work.,广告说这个产品是绝对保证有效的。
Module4,coastal,adj.沿海的；海岸的,Our coastal location has beautiful sunsets.,我们居住的海岸边有美丽的落日。
Module4,strength,n.力量；长处；兵力,Show your strength! Hit it again!,展示出你的力量！再来一击！
Module4,cycle,n.自行车；周期，循环　　v.（英）骑自行车；循环,I have to make a diagram of the water cycle for class.,我必须做一个图解给班上的同学来讲解水循环。
Module4,process,n.过程，工序v.加工，处理,This project has been a long process. ,这个项目经历了一个很长的流程。
Module4,garbage,n.垃圾，污物,Make sure to take out the garbage.,记得倒垃圾。
Module4,scary,adj. 恐怖的；胆小的,The house seems scary at night.,那栋房子晚上看起来很恐怖。
Module4,frightening,adj. 骇人的; 令人惊恐的;  引起突然惊恐的;,OMG! Look at the frightening look of that wolf!,额的娘诶！快看那狼多骇人！
Module4,campaign,,Many people came to support the president's campaign.,很多人都来这儿支持总统的竞选活动。
Module4,dust,"n: 尘土, 灰尘;  vi: 掸尘, 涂上粉末;  vt: 掸掉, 擦去, 使成粉末;  ",Driving down the dirt road so fast created a lot of dust.,车从肮脏的道路上全速驶过，激得尘土飞扬。
Module4,mask,,"When he took his mask off, I saw that he looked very different.","当他摘下面具,我看见他完全不同的面貌。"
Module4,major,n. 上级; 少校; 专业;  vi. 专攻;  adj. 较大的; 重要的; 主要的;  ,"In chess, the king is your most major piece.", 在国际象棋中，国王是你最重要的棋子。
Module4,give out,v.停止；耗尽；分发；产生；发出,They're giving out free food.,他们正在分发免费食物。
Module4,dune,n.（由风吹积而成的）沙丘,The camels walked over the sand dune.,骆驼翻越了沙丘。
Module4,chemical,adj.化学的n.化学制品 ,Watch out--if you mix those chemicals together they will explode!,小心！如果你把这些化学制品混合在一起会爆炸的！
Module4,forecast,v. 预报n.预测，预报,We forecast that the business will do better in the coming year.,我们预测在接下来一年生意会更好。
Module4,environment,n.环境，外界，围绕,We should all do our best to keep the environment clean.,我们应该尽我们全力保持环境清洁。
Module4,mass,n.众多；团；群众adj.大量的；大规模的,The mass of people are waiting.,这一大堆人在等待。
Module4,melt,v. 融化；溶化,Ice melts and turns into water if it's hot enough.,如果足够热，冰块便会融化并变成水。
Module4,atmosphere,n.大气层，大气，空气；基调，气氛,"As we keep polluting the atmosphere, the world's temperature will keep rising.",随着我们不断污染大气，全球气温将会持续攀升。
Module4,one after another,一个接一个,"One after another, the kids took their turns jumping rope.",孩子们一个接一个地轮流跳绳。
Module4,complain,"vi. 抱怨, 诉苦;  申诉, 控诉;  vt. 诉说, 申诉, 控告;  ","""This math problem is so difficult; it makes my head hurt!"" she complained.",“这道数学题太难了，我头都疼了！”她抱怨道。
Module4,evidence,v. 证明n. 证据，迹,Keep every piece of evidence to help us solve the crime. ,保存每一条证据以帮助我们侦破犯罪案件。
Module4,recycle,v.回收利用；改建,Make sure to recycle all your plastic bottles.,要确保你回收了所有的塑料瓶。
Module4,cut down,减少，削减；砍倒 ,"Because of the recession, we've had to cut down on our expenses.",因为不景气，我们已经不得不削减我们的开支。
Module4,dioxide,n.二氧化物,Carbon dioxide is making our planet warmer.,二氧化碳正在使地球升温。
Module4,pollute,v.弄脏，污染，沾污,Factory smoke can pollute the environment.,工厂烟雾会污染环境。
Module3,thunderstorm,n. 雷暴雨，大雷雨,The loud thunderstorm kept me awake all night. ,雷暴雨的巨响让我整晚没睡。
Module3,warning,n.警告，预告，通知，预兆,After the tree fell onto the road they put a warning sign in front of it.,树倒在路上之后他们在前面放了一张警示牌。
Module3,thankfully,adv.感谢地；感激地,"Thankfully, all our family had enough to eat this year.",谢天谢地，今年我们家有足够的食物。
Module3,volcano,n. 火山,Watch out--the volcano is about to erupt!,小心！火山要喷发了！
Module3,coffin,n.棺材,I don't understand why coffins are so expensive.,我不明白为何棺材这么贵。
Module3,experience,n.经验，感受，感受v.体验，感受，经历,That ride was an amazing experience.,那一程可真是奇妙的体验。
Module3,bury,v. 埋葬；隐藏,Many graves were dug to bury the dead after a battle.,很多墓穴是挖来埋葬战后死者的。
Module3,terrifying,adj. 令人恐惧的；骇人的；极大的,The horror movie was terrifying!,那恐怖片真太恐怖了！
Module3,pick up,搭载，拿回；清理；学会,I'm waiting here to pick up the kids after school.,我正等在这儿来接放学回家的孩子们。
Module3,wave,n.波浪，(挥手)示意，起伏v.(挥手)示意，波动，飘动波浪,The waves are very big in this part of the ocean.,在海上的这个区域波浪很大。
Module3,sadly,adv. 悲哀地；悲痛地,"Sadly, I have no furniture in my apartment.",很悲哀地说，我公寓里没有家具。
Module3,worldwide,adj. 全世界的adv. 在世界各地,Our parcel service has offices worldwide.,我们的快递服务在全世界都有办事处。
Module3,ash,n. 灰,"Ugh, please empty the ashtray--it's full of ash.","啊,请清空这个烟灰缸,这里面都是烟灰！"
Module3,cause,n.原因，理由；事业；目标 v.引起，造成,Drinking at work will cause you to be fired.,工作时喝酒会导致你被开除。
Module3,set fire to,放火（焚烧）……,She tried to cook dinner but set fire to the house instead.,她本想烧份晚餐来着，结果却把房子烧着了。
Module3,previous,adj.以前的；早先的，过早的,Press this button to go back to the previous page.,按这个按钮，回到上一页。
Module3,put out,"phr. 扑灭, 关熄;",The fire was put out quickly.,大火很快被扑灭了。
Module3,catch fire,着火,The forest can catch fire very easily.,森林很容易着火。
Module3,occur,vi. 发生;  出现;  ,Car accidents can occur very quickly.,车祸会发生在一瞬间。
Module3,eruption,n.爆发，喷发；火山灰；出疹,The eruption of this volcano destroyed the whole city.,火山爆发摧毁了整个城市。
Module3,erupt,vi. 爆发;  (火山、喷泉、蒸汽等)喷发;  vt. 使迸发; 喷射出;  ,This volcano erupts three times a day.,这座火山一天喷发三次。
Module3,tropical,adj.热带的,I love this tropical weather.,我很喜欢这种热带天气。
Module3,disaster,n.灾难，天灾,The entire city is destroyed. What a disaster!,整个城市都被毁了。真是场灾难！
Module3,hurricane,n.飓风,Cities near the ocean often face the risk of hurricanes.,沿海城市时常面临飓风来袭的危险。
Module3,fortunately,adv.幸运地，幸亏,"Fortunately, I got good cards in the poker game and won a lot of money. ",幸运的是，我在扑克游戏中拿到一手好牌赢了一大笔钱。
Module3,earthquake,n. 地震,The rescue team went to rescue the victims of the earthquake.,营救小组正在营救地震的受害者。
Module3,take place,phr. 发生;  举行;  来;,The American presidential election will take place in November 2012.,美国总统大选将在2012年11月举行。
Module3,fur,n.毛皮，毛皮衣服，人造毛,"A fur coat is very warm, but very expensive!",皮毛外套很温暖，但也很昂贵。
Module3,strike,v.使突然想到；打；罢工n.罢工；袭击,Strike the ball flat and hard to knock it out of the stadium.,用力水平击球，这样就能把球打出场外。
Module3,latitude,n.纬度；地区；(言论，行动的)自由,Canada and Russia have similar latitudes. ,加拿大和俄罗斯纬度相近。
Module3,end up,phr. 以…告终;,"If you commit fraud, you will end up in jail.",如果你犯了诈骗罪，你最后的结局就是坐牢。
Module3,take off,phr. (飞机)起飞;  拿掉;  取消;   脱衣;,The airplane takes off.,飞机起飞了。
Module3,lava,n.火山岩；火山喷出的熔岩,The volcano became active and started erupting hot lava.,那座火山开始活跃并喷发岩浆。
Module3,hopefully,adv.满怀希望地；有希望地,Hopefully my birthday wish comes true!,希望我的生日愿望能实现！
Module3,equator,n. 赤道;  ,The equator cuts the world into north and south. ,赤道把地球分为南半球和北半球。
Module3,current,adj.当前的，流行的n.(电，水，气)流，思潮,"""Is the news current?"" ""No, it's from yesterday.""",“这是最新的新闻吗？” “不，这是昨天的了。”
Module3,column,n.柱，支柱，圆柱；专栏,Only a few columns of the old building are still standing,这栋老建筑只有一些圆柱还立在那儿。
Module3,furniture,n.家具，装置，设备,I bought a new piece of white furniture to add beauty to my room.,我买了一件新的白色家具来装饰我的房间。
Module3,active,adj.积极的，能起作用的,An active lifestyle is important for staying healthy.,积极的生活方式对保持健康是重要的。
Module3,damage,v.损害；毁坏　　n.损害,I damaged my car when I drove off the road.,当我开下马路时撞毁了车。
Module3,cemetery,n.公墓，墓地,The cemetery is scary at night.,晚上墓地让人}得慌。
Module3,possibility,n.可能，可能性；可能的事，希望,"There's a possibility I'm right; then again, I might be wrong.",有可能我是对的，当然也有可能我是错的。
Module3,tornado,n.飓风，龙卷风,A tornado destroyed my house.,龙卷风摧毁了我家。
Module3,on average,平均，按平均数计算,"On average, men are about 177 cm tall.",
Module3,ruin,,The fire will ruin everything in the house. ,这火会毁坏房子里所有的东西。
Module3,rotating,adj.旋转的；循环的,His favorite activity is running on the rotating wheel.,他最喜欢的的活动是在滚轮上面跑步。
Module3,violent,adj. 猛烈的，暴力的,My kids are so violent - they'd rather fight than talk about things.,我的孩子们暴力倾向很重，她们宁愿打架也不愿意坐下来说清楚。
Module3,tidal,"adj.潮汐的,潮水（似）的，定时涨落的","The tidal wave of sound was too strong, leaving everyone completely shocked.",音浪太强了，我们都震惊了。
Module3,flood,n.洪水v.淹灭,My house was damaged in the flood.,我的房子在洪水中被破坏了。
Module3,feather,n. 羽毛,"The bird's feather is very light, and only falls very slowly.",鸟的羽毛非常轻，下落得非常慢。
Module3,lightning,"n. 闪电;  意外的好运;  vi. 闪电;  adj. 闪电的, 闪电般的, 迅速的;  ",There was a lot of lightning during the storm last night. ,昨晚风暴来袭时电闪雷鸣。
Module2,transport,n. 运输; 运输工具;  vt. 运输; 输送; 使狂喜; 流放;  , The goose is transporting a duck to cross over the river.,这只鹅正驮着一只鸭子过河。
Module2,human,adj.人的，人类的 n.人 ,There are many types of humans.,这里有各式各样的人。
Module2,position,n. 姿势，位置，职位v. 安置,"He says he thinks better in that position, but I'm not so sure he does.",他说他保持那种姿势时能更好地思考，但是我不认为他能。
Module2,tourism,n.旅游，旅游业,The beach is a popular location for tourism.,海边是旅游胜地。
Module2,be connected with,与...有关,"It's easy to be connected with people all over the world  with today's social networking.
",通过今天的社交关系网，很容易将世界各地的人们联系起来。
Module2,crowded,adj.拥挤的；塞满的,This bus is a bit too crowded.  I think I'll wait for the next one.,这辆公交车有点太挤了，我想我会等下一辆。
Module2,educate,v.教育，培养，训练,My children were all educated in public schools.,我的孩子们都在公立学校接受教育。
Module2,smart,adj.漂亮的，潇洒的；聪明的；巧妙的，伶俐的v.剧痛，刺疼,The smart dog can read newspapers. ,这只聪明的狗能读报纸。
Module2,household,n.同住在一家的人；家务；家常普通的 adj. 家庭的，家内的，一家的,I perform all my household cleaning on Sunday.,我每周日要在家里大扫除。
Module2,homeless,n. 无家可归者;  adj. 无家的;  ,We should help homeless people.,我们应该帮助无家可归的人。
Module2,income,n. 收入,Most doctors earn an excellent income.,大多数医生有可观的收入。
Module2,goal,n. 目标，球门，终点，(进球)得分,His only goal was to win the football game.,他唯一的目标就是赢得足球比赛。
Module2,development,n.发展，开发，生长,"When this new development is finished, over a thousand people will live here.",新的楼开发完工后，超过一千人会住进去。
Module2,unfortunate,adj.不幸的，令人遗憾的,I'm so unfortunate - why does it only rain on me?,我真不幸，为什么它只在我头上下雨？
Module2,exchange,"n. 交易;  交换;  交易所;  兑换;  vi. 交换, 替换, 进行易货贸易;  vt. 交换, 互换;  交流;  ",This is a good place for us to exchange ideas.,这是个不错的地方让我们交换想法。
Module2,vast,adj. 巨大的；辽阔的,The universe is vast.,宇宙是巨大的。
Module2,hunger,n./v.饥饿；渴望　,I hope this sandwich is as big as my hunger!,我希望这个三明治能正好满足我巨大的饥饿感！
Module2,measure,,Every week I measure my waist to see how much weight I've lost.,每周我都量一下腰围来看我掉了多少斤肉。
Module2,index,n.索引；指标，标志；指数　v.附以索引，编入索引,This card index lists all my books.,这些索引卡列出了我所有的书目。
Module2,inhabitant,n.居民，住户 ,He was the only inhabitant of the island.,他是这个岛上唯一的居民。
Module2,at the top of,在……顶端,He always finishes at the top of his class.,他总是得全班第一。
Module2,figure,n. 体型；人物；形状；数字v.想出，估计，计算出,I maintain my figure by eating well and exercising.,我通过合理膳食和锻炼保持身材。
Module2,polluted,adj.受到污染的,"This used to be a nice lake, but now it's all polluted.",这曾是个漂亮的湖，但现在完全被污染了。
Module2,charity,n. 慈善，慈善团体，施舍,Rich people should always give charity to the poor.,有钱人应该常常捐助穷人。
Module2,at the bottom of,在……底部,She didn't work very hard and finished at the bottom of her class.,她没有怎么努力，结果成绩在班上垫了底。
Module2,poverty,n. 贫困，贫穷,Many children live in poverty; we should try to help them.,许多孩子生活贫苦，我们应该试着帮助他们。
Module2,expectancy,n.期待；预期；期望的东西,Japanese life expectancy is the highest in the world.,日本人的预期寿命是全世界最高的。
Module2,similarity,"n. 相似, 类似;  ",The similarity in their appearance is striking--I can't tell the difference between them at all!,他们的外表惊人的相似―我根本分不清他们两个人。
Module2,industrial,adj.工业的，产业的,"Industrial activity is good for the economy, but sometimes bad for the environment.",工业活动对经济有益，但有时对环境有害。
Module2,location,n. 位置，定位，外景拍摄地,I found the location on the map.,我在地图上找到了这个位置。
Module2,entertainment,n. 娱乐；招待，款待,We go to the movies for some entertainment.,我们的娱乐方式是看电影。
Module2,freeway,n.高速公路,I'm happy when I get on the freeway because I don't have to wait for traffic lights.,上高速时我开心极了，因为我再也不用等红灯了。
Module1,ancient,adj.远古的，古代的，古老的,"These ancient statues are over 2,000 years old.",这些古代雕像有2000多年的历史。
Module1,sign,n. 记号，符号；标志v. 签署,Please sign your name on the dotted line. ,请在虚线上签名。
Module1,symbol,n.象征；符号；记号；标志,These symbols represent all the different things our software can do.,这些图标代表了我们的软件能做的所有不同的功能。
Module1,across,prep.越过，在...的那边adv.横过，在对面,She got across the stream by walking on the rocks.,她踩在石头上穿过了小溪。
Module1,govern,"vi. 进行统治;  居支配地位;  vt. 统治, 管理;  支配;  抑制;  调节;  ",This retarded-looking king governs our kingdom.,这个智障长相的国王统治着我们国家。 
Module1,landmark,n.(航海)陆标；标志性建筑；里程碑；划时代的事,The Golden Gate Bridge is San Francisco's most famous landmark.,金门大桥是旧金山最出名的地标。
Module1,geographical,"adj. 地理的, 地理学的",A world map clearly describes the geographical location of all the countries.,世界地图清晰的展示出所有国家的地理位置。
Module1,gallery,n.美术馆，画廊，(议会等的)旁听席，走廊,This gallery has a lot of flower pictures.,这个展览馆有大量的花朵图片。
Module1,face,n.脸；表面；外表v.面对,I'm not just a pretty face - I have many skills as well.,我不光有漂亮脸蛋，也有很多技能。
Module1,representative,n.代表，代理人adj.(of)典型的，有代表性的,The sales representative sold me a car.,这个销售代表卖给我一辆车。
Module1,head,n.头；上端；领导人v.率领；前进；出发adj. 头的；主要的；在顶端的,My head aches - maybe I think too much...,头好痛，也许是我用脑太多了。
Module1,architect,n.建筑师，设计师,The architect imagines the house that his client wants to build.,建筑师在想象他的客户想要盖的房子。
Module1,region,n.地区，区域；范围,I live in the southwest region of China. ,我住在中国的西南地区。
Module1,birthplace,n.诞生地 ；发源地；故乡,The story says that the birthplace of Jesus was on a farm.,这个故事说耶稣的诞生地是一个农场。
Module1,on the other hand,另一方面；反过来说,"I could go left. On the other hand, I could also go right.",我可以走左边，另一方面，我也可以走右边。
Module1,be known as,作为……而出名/闻名,He's known as a big liar.,众所周知他是个大骗子。
Module1,continental,adj.大陆的，大陆性的n.欧洲人 ,Earth was divided into seven continents by continental drift.,大陆漂移导致地球分为七个大洲。
Module1,whereabouts,n. 下落；行踪；去向；所在之处adv. 在何处；靠近什么地方,"By following the footprints, Dr Watson hoped to discover the criminal's whereabouts.",顺着脚印，华生医生希望能发现罪犯的下落。
Module1,situated,adj.坐落在…的；处于某种境地的,The statue of liberty is situated near Ellis Island.,自由女神像坐落在埃利斯岛附近。
Module1,sculpture,n.雕刻(作品),This is an old sculpture.,这是一个古老的雕像。
Module1,parliament,n. 议会; 国会;  ,The parliament of our country writes and passes laws.,在美国，国会撰写并通过法律。
Module1,boot,n.(长筒)靴v.踢；启动,"When I camp in the mountains, I always wear hiking boots.",当我在山上露营时，我总是穿登山鞋。
Module1,located,adj.位于,You are currently located here.,你现在位于这里。
Module1,opposite,adj.对立的，对面的adv.对立地，反面地n.对立物，反义词,They face opposite each other because they're so angry.,他们背对彼此，因为他们很生气。
Module1,project,n.计划，方案，工程v.伸出，投影，规划,The construction project is moving quickly.,这个建筑工程进展迅速。
Module1,agreement,n.一致，协议,Both of them were happy with their agreement.,他们双方都对协议感到满意。
Module1,feature,"n. 面貌, 相貌;  特征, 特点;  特辑;  vi. 起重要作用, 作为主要角色;  vt. 使突出, 以…为特色;  ","Wow, this cell phone has so many cool features!",哇，这部手机有好多超酷的特色（功能）！
Module1,civilisation,n.文明; 文化; ,Many relics from the ancient Egyptian civilisation have been discovered.,很多古埃及文明的遗迹都被发现了。
Module1,ever since,phr. 自那时起直到现在,They have lived there ever since they were married.,这一对老夫妻从结婚起就住在那里。
Module1,in terms of,phr. 就…而论; 用…字眼; 依据,Our currency converter expresses yuan in terms of pounds and/or dollars.,我们的货币兑换能用英镑和美元来表示人民币的价值。
Module1,because of,因为；由于,I got sick because of the cold and the rain.,因为天冷和这场雨，我生病了。
Module1,range,n. 排;  变动范围;  山脉;  放牧场;  vi. 排成一排;  adj. 牧场的;  vt. 排列;  ,Try to keep your speed in the 40 to 80 kilometers per hour range.,尽量把你的速度保持在每小时40―80公里的范围内。
Module1,produce,n. 农产品;  vi. 生产; 产生; 创作;  vt. 生产; 创作; 产生;  ,The factory produced things quickly. ,工厂生产产品速度很快。
